Funktion;Subfunktion;;;Text;
Recht;Erlaubnis;;;(1) Ist ein Mangel im Sinne des § 536 bei Vertragsschluss vorhanden oder entsteht ein solcher Mangel später wegen eines Umstands, den der Vermieter zu vertreten hat, oder kommt der Vermieter mit der Beseitigung eines Mangels in Verzug, so kann der Mieter unbeschadet der Rechte aus § 536 Schadensersatz verlangen.;
Recht;Erlaubnis;;;(2) Der Mieter kann den Mangel selbst beseitigen und Ersatz der erforderlichen Aufwendungen verlangen, wenn 1.der Vermieter mit der Beseitigung des Mangels in Verzug ist oder 2.die umgehende Beseitigung des Mangels zur Erhaltung oder Wiederherstellung des Bestands der Mietsache notwendig ist.;
RF;Ausschluss;;;Kennt der Mieter bei Vertragsschluss den Mangel der Mietsache, so stehen ihm die Rechte aus den §§ 536 und 536a nicht zu.;
RF;R;;;Ist ihm der Mangel infolge grober Fahrlässigkeit unbekannt geblieben, so stehen ihm diese Rechte nur zu, wenn der Vermieter den Mangel arglistig verschwiegen hat.;
Recht;Ausschluss beschränkt;;;Nimmt der Mieter eine mangelhafte Sache an, obwohl er den Mangel kennt, so kann er die Rechte aus den §§ 536 und 536a nur geltend machen, wenn er sich seine Rechte bei der Annahme vorbehält.;
Gebot;Gebot;;;(1) Zeigt sich im Laufe der Mietzeit ein Mangel der Mietsache oder wird eine Maßnahme zum Schutz der Mietsache gegen eine nicht vorhergesehene Gefahr erforderlich, so hat der Mieter dies dem Vermieter unverzüglich anzuzeigen.;
RF;Gleichstellung;;;Das Gleiche gilt, wenn ein Dritter sich ein Recht an der Sache anmaßt.;
Gebot;Gebot;;;(2) Unterlässt der Mieter die Anzeige, so ist er dem Vermieter zum Ersatz des daraus entstehenden Schadens verpflichtet.;
Recht;Verbot;;;Soweit der Vermieter infolge der Unterlassung der Anzeige nicht Abhilfe schaffen konnte, ist der Mieter nicht berechtigt, 1.die in § 536 bestimmten Rechte geltend zu machen, 2.nach § 536a Abs. 1 Schadensersatz zu verlangen oder 3.ohne Bestimmung einer angemessenen Frist zur Abhilfe nach § 543 Abs. 3 Satz 1 zu kündigen.;
Recht;Verbot;;;Auf eine Vereinbarung, durch die die Rechte des Mieters wegen eines Mangels der Mietsache ausgeschlossen oder beschränkt werden, kann sich der Vermieter nicht berufen, wenn er den Mangel arglistig verschwiegen hat.;
RF Einwendung;Freistellung;;;(1) Der Mieter wird von der Entrichtung der Miete nicht dadurch befreit, dass er durch einen in seiner Person liegenden Grund an der Ausübung seines Gebrauchsrechts gehindert wird.;
Gebot;Gebot;;;Der Vermieter muss sich jedoch den Wert der ersparten Aufwendungen sowie derjenigen Vorteile anrechnen lassen, die er aus einer anderweitigen Verwertung des Gebrauchs erlangt.;
Gebot;Pflichtfreistellung;;;(2) Solange der Vermieter infolge der Überlassung des Gebrauchs an einen Dritten außerstande ist, dem Mieter den Gebrauch zu gewähren, ist der Mieter zur Entrichtung der Miete nicht verpflichtet.;
Recht;Erlaubnis;;;(1) Der Mieter kann vom Vermieter Aufwendungen auf die Mietsache, die der Vermieter ihm nicht nach § 536a Abs. 2 zu ersetzen hat, nach den Vorschriften über die Geschäftsführung ohne Auftrag ersetzt verlangen.;
Recht;Erlaubnis;;;(2) Der Mieter ist berechtigt, eine Einrichtung wegzunehmen, mit der er die Mietsache versehen hat.;
Recht;Verbot;;;(1) Der Mieter ist ohne die Erlaubnis des Vermieters nicht berechtigt, den Gebrauch der Mietsache einem Dritten zu überlassen, insbesondere sie weiter zu vermieten.;
Recht;Erlaubnis;;;Verweigert der Vermieter die Erlaubnis, so kann der Mieter das Mietverhältnis außerordentlich mit der gesetzlichen Frist kündigen, sofern nicht in der Person des Dritten ein wichtiger Grund vorliegt.;
Recht;Erlaubnis;;;Setzt der Mieter einen vertragswidrigen Gebrauch der Mietsache trotz einer Abmahnung des Vermieters fort, so kann dieser auf Unterlassung klagen.;
Recht;Erlaubnis;;;(1) Ist die Mietzeit nicht bestimmt, so kann jede Vertragspartei das Mietverhältnis nach den gesetzlichen Vorschriften kündigen.;
RF;Rechtseigenschaft;;;(2) Ein Mietverhältnis, das auf bestimmte Zeit eingegangen ist, endet mit dem Ablauf dieser Zeit, sofern es nicht 1.in den gesetzlich zugelassenen Fällen außerordentlich gekündigt oder 2.verlängert wird.;
Recht;Erlaubnis;;;(1) Jede Vertragspartei kann das Mietverhältnis aus wichtigem Grund außerordentlich fristlos kündigen.;
Definition;direkt;;;Ein wichtiger Grund liegt vor, wenn dem Kündigenden unter Berücksichtigung aller Umstände des Einzelfalls, insbesondere eines Verschuldens der Vertragsparteien, und unter Abwägung der beiderseitigen Interessen die Fortsetzung des Mietverhältnisses bis zum Ablauf der Kündigungsfrist oder bis zur sonstigen Beendigung des Mietverhältnisses nicht zugemutet werden kann.;
RF Einwendung;Ausschluss;;;Im Falle des Satzes 1 Nr. 3 ist die Kündigung ausgeschlossen, wenn der Vermieter vorher befriedigt wird.;
RF Einwendung;Unwirksamkeit;;;Sie wird unwirksam, wenn sich der Mieter von seiner Schuld durch Aufrechnung befreien konnte und unverzüglich nach der Kündigung die Aufrechnung erklärt.;
RF Einwendung;Unzulässigkeit;;;(3) Besteht der wichtige Grund in der Verletzung einer Pflicht aus dem Mietvertrag, so ist die Kündigung erst nach erfolglosem Ablauf einer zur Abhilfe bestimmten angemessenen Frist oder nach erfolgloser Abmahnung zulässig.;
RF;Ausnahme;;;Dies gilt nicht, wenn 1.eine Frist oder Abmahnung offensichtlich keinen Erfolg verspricht, 2.die sofortige Kündigung aus besonderen Gründen unter Abwägung der beiderseitigen Interessen gerechtfertigt ist oder 3.der Mieter mit der Entrichtung der Miete im Sinne des Absatzes 2 Nr. 3 in Verzug ist.;
Verweisung;analog §;;;(4) Auf das dem Mieter nach Absatz 2 Nr. 1 zustehende Kündigungsrecht sind die §§ 536b und 536d entsprechend anzuwenden.;
Recht;Erlaubnis;;;Wird ein Mietvertrag für eine längere Zeit als 30 Jahre geschlossen, so kann jede Vertragspartei nach Ablauf von 30 Jahren nach Überlassung der Mietsache das Mietverhältnis außerordentlich mit der gesetzlichen Frist kündigen.;
RF Einwendung;Unzulässigkeit;;;Die Kündigung ist unzulässig, wenn der Vertrag für die Lebenszeit des Vermieters oder des Mieters geschlossen worden ist.;
RF;Rechtseigenschaft;;;Setzt der Mieter nach Ablauf der Mietzeit den Gebrauch der Mietsache fort, so verlängert sich das Mietverhältnis auf unbestimmte Zeit, sofern nicht eine Vertragspartei ihren entgegenstehenden Willen innerhalb von zwei Wochen dem anderen Teil erklärt.;
RF;Frist;;;Die Frist beginnt 1.für den Mieter mit der Fortsetzung des Gebrauchs, 2.für den Vermieter mit dem Zeitpunkt, in dem er von der Fortsetzung Kenntnis erhält.;
Gebot;Gebot;;;(1) Der Mieter ist verpflichtet, die Mietsache nach Beendigung des Mietverhältnisses zurückzugeben.;
Recht;Erlaubnis;;;(2) Hat der Mieter den Gebrauch der Mietsache einem Dritten überlassen, so kann der Vermieter die Sache nach Beendigung des Mietverhältnisses auch von dem Dritten zurückfordern.;
Recht;Erlaubnis;;;(1) Gibt der Mieter die Mietsache nach Beendigung des Mietverhältnisses nicht zurück, so kann der Vermieter für die Dauer der Vorenthaltung als Entschädigung die vereinbarte Miete oder die Miete verlangen, die für vergleichbare Sachen ortsüblich ist.;
RF Einwendung;Rechtseigenschaft;;;(2) Die Geltendmachung eines weiteren Schadens ist nicht ausgeschlossen.;
Gebot;Gebot;;;(1) Ist die Miete für die Zeit nach Beendigung des Mietverhältnisses im Voraus entrichtet worden, so hat der Vermieter sie zurückzuerstatten und ab Empfang zu verzinsen.;
Gebot;Gebot;;;Hat der Vermieter die Beendigung des Mietverhältnisses nicht zu vertreten, so hat er das Erlangte nach den Vorschriften über die Herausgabe einer ungerechtfertigten Bereicherung zurückzuerstatten.;
RF Einwendung;Unwirksamkeit;;;(2) Bei einem Mietverhältnis über Wohnraum ist eine zum Nachteil des Mieters abweichende Vereinbarung unwirksam.;
RF;Rechtseigenschaft;;;(1) Die Ersatzansprüche des Vermieters wegen Veränderungen oder Verschlechterungen der Mietsache verjähren in sechs Monaten.;
RF;Frist;;;Die Verjährung beginnt mit dem Zeitpunkt, in dem er die Mietsache zurückerhält.;
Verweisung;direkt Vorschriftenkomplex;;;(1) Für Mietverhältnisse über Wohnraum gelten die §§ 535 bis 548, soweit sich nicht aus den §§ 549 bis 577a etwas anderes ergibt.;
Verweisung;negativ;;;(2) Die Vorschriften über die Mieterhöhung (§§ 557 bis 561) und über den Mieterschutz bei Beendigung des Mietverhältnisses sowie bei der Begründung von Wohnungseigentum (§ 568 Abs. 2, §§ 573, 573a, 573d Abs. 1, §§ 574 bis 575, 575a Abs. 1 und §§ 577, 577a) gelten nicht für Mietverhältnisse über 1.Wohnraum, der nur zum vorübergehenden Gebrauch vermietet ist, 2.Wohnraum, der Teil der vom Vermieter selbst bewohnten Wohnung ist und den der Vermieter überwiegend mit Einrichtungsgegenständen auszustatten hat, sofern der Wohnraum dem Mieter nicht zum dauernden Gebrauch mit seiner Familie oder mit Personen überlassen ist, mit denen er einen auf Dauer angelegten gemeinsamen Haushalt führt, 3.Wohnraum, den eine juristische Person des öffentlichen Rechts oder ein anerkannter privater Träger der Wohlfahrtspflege angemietet hat, um ihn Personen mit dringendem Wohnungsbedarf zu überlassen, wenn sie den Mieter bei Vertragsschluss auf die Zweckbestimmung des Wohnraums und die Ausnahme von den genannten Vorschriften hingewiesen hat.;
Verweisung;negativ;;;(3) Für Wohnraum in einem Studenten- oder Jugendwohnheim gelten die §§ 557 bis 561 sowie die §§ 573, 573a, 573d Abs. 1 und §§ 575, 575a Abs. 1, §§ 577, 577a nicht.;
RF Einwendung;Unzulässigkeit;;;Die Kündigung ist jedoch frühestens zum Ablauf eines Jahres nach Überlassung des Wohnraums zulässig.;
Recht;Erlaubnis;;;(1) Hat der Mieter dem Vermieter für die Erfüllung seiner Pflichten Sicherheit zu leisten, so darf diese vorbehaltlich des Absatzes 3 Satz 4 höchstens das Dreifache der auf einen Monat entfallenden Miete ohne die als Pauschale oder als Vorauszahlung ausgewiesenen Betriebskosten betragen.;
Recht;Erlaubnis;;;(2) Ist als Sicherheit eine Geldsumme bereitzustellen, so ist der Mieter zu drei gleichen monatlichen Teilzahlungen berechtigt.;
RF;Frist;;;Die erste Teilzahlung ist zu Beginn des Mietverhältnisses fällig.;
RF;Frist;;;Die weiteren Teilzahlungen werden zusammen mit den unmittelbar folgenden Mietzahlungen fällig.;
Gebot;Gebot;;;(3) Der Vermieter hat eine ihm als Sicherheit überlassene Geldsumme bei einem Kreditinstitut zu dem für Spareinlagen mit dreimonatiger Kündigungsfrist üblichen Zinssatz anzulegen.;
Recht;Erlaubnis;;;Die Vertragsparteien können eine andere Anlageform vereinbaren.;
Gebot;Gebot;;;In beiden Fällen muss die Anlage vom Vermögen des Vermieters getrennt erfolgen und stehen die Erträge dem Mieter zu.;
RF;Rechtseigenschaft;;;Sie erhöhen die Sicherheit.;
Gebot;Gebot;;;Bei Wohnraum in einem Studenten- oder Jugendwohnheim besteht für den Vermieter keine Pflicht, die Sicherheitsleistung zu verzinsen.;
RF Einwendung;Unwirkamkeit;;;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Der Vermieter kann die Ausübung des Wegnahmerechts (§ 539 Abs. 2) durch Zahlung einer angemessenen Entschädigung abwenden, wenn nicht der Mieter ein berechtigtes Interesse an der Wegnahme hat.;
RF Einwendung;Wirksamkeit beschränkt;;;(2) Eine Vereinbarung, durch die das Wegnahmerecht ausgeschlossen wird, ist nur wirksam, wenn ein angemessener Ausgleich vorgesehen ist.;
Recht;Erlaubnis;;;(1) Entsteht für den Mieter nach Abschluss des Mietvertrags ein berechtigtes Interesse, einen Teil des Wohnraums einem Dritten zum Gebrauch zu überlassen, so kann er von dem Vermieter die Erlaubnis hierzu verlangen.;
RF;Ausnahme;;;Dies gilt nicht, wenn in der Person des Dritten ein wichtiger Grund vorliegt, der Wohnraum übermäßig belegt würde oder dem Vermieter die Überlassung aus sonstigen Gründen nicht zugemutet werden kann.;
Recht;Erlaubnis;;;(2) Ist dem Vermieter die Überlassung nur bei einer angemessenen Erhöhung der Miete zuzumuten, so kann er die Erlaubnis davon abhängig machen, dass der Mieter sich mit einer solchen Erhöhung einverstanden erklärt.;
RF Einwendung;Unwirksamkeit;;;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Der Mieter kann vom Vermieter die Zustimmung zu baulichen Veränderungen oder sonstigen Einrichtungen verlangen, die für eine behindertengerechte Nutzung der Mietsache oder den Zugang zu ihr erforderlich sind, wenn er ein berechtigtes Interesse daran hat.;
Recht;Erlaubnis;;;Der Vermieter kann seine Zustimmung verweigern, wenn sein Interesse an der unveränderten Erhaltung der Mietsache oder des Gebäudes das Interesse des Mieters an einer behindertengerechten Nutzung der Mietsache überwiegt.;
Gebot;Maßstab;;;Dabei sind auch die berechtigten Interessen anderer Mieter in dem Gebäude zu berücksichtigen.;
Recht;Erlaubnis;;;(2) Der Vermieter kann seine Zustimmung von der Leistung einer angemessenen zusätzlichen Sicherheit für die Wiederherstellung des ursprünglichen Zustandes abhängig machen.;
Verweisung;analog §;;;§ 551 Abs. 3 und 4 gilt entsprechend.;
RF Einwendung;Unwirksamkeit;;;(3) Eine zum Nachteil des Mieters von Absatz 1 abweichende Vereinbarung ist unwirksam.;
RF Einwendung;Unwirksamkeit;;;Eine Vereinbarung, durch die sich der Vermieter eine Vertragsstrafe vom Mieter versprechen lässt, ist unwirksam.;
Gebot;Verbot;;;(1) Der Mieter hat Maßnahmen zu dulden, die zur Instandhaltung oder Instandsetzung der Mietsache erforderlich sind (Erhaltungsmaßnahmen).;
Gebot;Gebot;;;(2) Erhaltungsmaßnahmen sind dem Mieter rechtzeitig anzukündigen, es sei denn, sie sind nur mit einer unerheblichen Einwirkung auf die Mietsache verbunden oder ihre sofortige Durchführung ist zwingend erforderlich.;
Gebot;Gebot;;;(3) Aufwendungen, die der Mieter infolge einer Erhaltungsmaßnahme machen muss, hat der Vermieter in angemessenem Umfang zu ersetzen.;
Gebot;Gebot;;;Auf Verlangen hat er Vorschuss zu leisten.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters von Absatz 2 oder 3 abweichende Vereinbarung ist unwirksam.;
Definition;direkt;;;Modernisierungsmaßnahmen sind bauliche Veränderungen, 1.durch die in Bezug auf die Mietsache Endenergie nachhaltig eingespart wird (energetische Modernisierung),2.durch die nicht erneuerbare Primärenergie nachhaltig eingespart oder das Klima nachhaltig geschützt wird, sofern nicht bereits eine energetische Modernisierung nach Nummer 1 vorliegt,3.durch die der Wasserverbrauch nachhaltig reduziert wird,4.durch die der Gebrauchswert der Mietsache nachhaltig erhöht wird,5.durch die die allgemeinen Wohnverhältnisse auf Dauer verbessert werden,6.die auf Grund von Umständen durchgeführt werden, die der Vermieter nicht zu vertreten hat, und die keine Erhaltungsmaßnahmen nach § 555a sind, oder7.durch die neuer Wohnraum geschaffen wird.;
Gebot;Gebot;;;(1) Der Vermieter hat dem Mieter eine Modernisierungsmaßnahme spätestens drei Monate vor ihrem Beginn in Textform anzukündigen (Modernisierungsankündigung).;
Gebot;Form;;;Die Modernisierungsankündigung muss Angaben enthalten über:;
Gebot;Gebot;;;(2) Der Vermieter soll den Mieter in der Modernisierungsankündigung auf die Form und die Frist des Härteeinwands nach § 555d Absatz 3 Satz 1 hinweisen.;
Recht;Erlaubnis;;;(3) In der Modernisierungsankündigung für eine Modernisierungsmaßnahme nach § 555b Nummer 1 und 2 kann der Vermieter insbesondere hinsichtlich der energetischen Qualität von Bauteilen auf allgemein anerkannte Pauschalwerte Bezug nehmen.;
Verweisung;negativ;;;(4) Die Absätze 1 bis 3 gelten nicht für Modernisierungsmaßnahmen, die nur mit einer unerheblichen Einwirkung auf die Mietsache verbunden sind und nur zu einer unerheblichen Mieterhöhung führen.;
RF Einwendung;Unwirksamkeit;;;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Gebot;Gebot;;;(1) Der Mieter hat eine Modernisierungsmaßnahme zu dulden.;
RF;Rechtseigenschaft;;;(2) Eine Duldungspflicht nach Absatz 1 besteht nicht, wenn die Modernisierungsmaßnahme für den Mieter, seine Familie oder einen Angehörigen seines Haushalts eine Härte bedeuten würde, die auch unter Würdigung der berechtigten Interessen sowohl des Vermieters als auch anderer Mieter in dem Gebäude sowie von Belangen der Energieeinsparung und des Klimaschutzes nicht zu rechtfertigen ist.;
RF;Maßstab;;;Die zu erwartende Mieterhöhung sowie die voraussichtlichen künftigen Betriebskosten bleiben bei der Abwägung im Rahmen der Duldungspflicht außer Betracht.;
Gebot;Gebot;;;(3) Der Mieter hat dem Vermieter Umstände, die eine Härte im Hinblick auf die Duldung oder die Mieterhöhung begründen, bis zum Ablauf des Monats, der auf den Zugang der Modernisierungsankündigung folgt, in Textform mitzuteilen.;
RF;Frist;;;Der Lauf der Frist beginnt nur, wenn die Modernisierungsankündigung den Vorschriften des § 555c entspricht.;
Gebot;Maßstab;;;(4) Nach Ablauf der Frist sind Umstände, die eine Härte im Hinblick auf die Duldung oder die Mieterhöhung begründen, noch zu berücksichtigen, wenn der Mieter ohne Verschulden an der Einhaltung der Frist gehindert war und er dem Vermieter die Umstände sowie die Gründe der Verzögerung unverzüglich in Textform mitteilt.;
Gebot;Maßstab;;;Umstände, die eine Härte im Hinblick auf die Mieterhöhung begründen, sind nur zu berücksichtigen, wenn sie spätestens bis zum Beginn der Modernisierungsmaßnahme mitgeteilt werden.;
RF;Form;;;(5) Hat der Vermieter in der Modernisierungsankündigung nicht auf die Form und die Frist des Härteeinwands hingewiesen (§ 555c Absatz 2), so bedarf die Mitteilung des Mieters nach Absatz 3 Satz 1 nicht der dort bestimmten Form und Frist.;
Verweisung;analog §;;;Absatz 4 Satz 2 gilt entsprechend.;
Verweisung;analog §;;;(6) § 555a Absatz 3 gilt entsprechend.;
RF Einwendung;Unwirksamkeit;;;(7) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Nach Zugang der Modernisierungsankündigung kann der Mieter das Mietverhältnis außerordentlich zum Ablauf des übernächsten Monats kündigen.;
Gebot;Gebot;;;Die Kündigung muss bis zum Ablauf des Monats erfolgen, der auf den Zugang der Modernisierungsankündigung folgt.;
Verweisung;analog §;;;(2) § 555c Absatz 4 gilt entsprechend.;
RF Einwendung;Unwirksamkeit;;;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;Die Vertragsparteien können nach Abschluss des Mietvertrags aus Anlass von Erhaltungs- oder Modernisierungsmaßnahmen Vereinbarungen treffen, insbesondere über die 1.zeitliche und technische Durchführung der Maßnahmen,2.Gewährleistungsrechte und Aufwendungsersatzansprüche des Mieters,3.künftige Höhe der Miete.;
Recht;Erlaubnis;;;(1) Die Vertragsparteien können vereinbaren, dass der Mieter Betriebskosten trägt.;
Definition;direkt;;;Betriebskosten sind die Kosten, die dem Eigentümer oder Erbbauberechtigten durch das Eigentum oder das Erbbaurecht am Grundstück oder durch den bestimmungsmäßigen Gebrauch des Gebäudes, der Nebengebäude, Anlagen, Einrichtungen und des Grundstücks laufend entstehen.;
Recht;Ermächtigung;;;Die Bundesregierung wird ermächtigt, durch Rechtsverordnung ohne Zustimmung des Bundesrates Vorschriften über die Aufstellung der Betriebskosten zu erlassen.;
Recht;Erlaubnis;;;(2) Die Vertragsparteien können vorbehaltlich anderweitiger Vorschriften vereinbaren, dass Betriebskosten als Pauschale oder als Vorauszahlung ausgewiesen werden.;
Recht;Erlaubnis;;;Vorauszahlungen für Betriebskosten dürfen nur in angemessener Höhe vereinbart werden.;
Gebot;Gebot;;;(3) Über die Vorauszahlungen für Betriebskosten ist jährlich abzurechnen.;
Gebot;Gebot;;;Die Abrechnung ist dem Mieter spätestens bis zum Ablauf des zwölften Monats nach Ende des Abrechnungszeitraums mitzuteilen.;
RF Einwendung;Ausschluss ;;;Nach Ablauf dieser Frist ist die Geltendmachung einer Nachforderung durch den Vermieter ausgeschlossen, es sei denn, der Vermieter hat die verspätete Geltendmachung nicht zu vertreten.;
Gebot;Gebot;;;Einwendungen gegen die Abrechnung hat der Mieter dem Vermieter spätestens bis zum Ablauf des zwölften Monats nach Zugang der Abrechnung mitzuteilen.;
Recht;Verbot;;;Nach Ablauf dieser Frist kann der Mieter Einwendungen nicht mehr geltend machen, es sei denn, der Mieter hat die verspätete Geltendmachung nicht zu vertreten.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters von Absatz 1, Absatz 2 Satz 2 oder Absatz 3 abweichende Vereinbarung ist unwirksam.;
Gebot;Gebot;;;(1) Haben die Vertragsparteien nichts anderes vereinbart, sind die Betriebskosten vorbehaltlich anderweitiger Vorschriften nach dem Anteil der Wohnfläche umzulegen.;
Gebot;Gebot;;;Betriebskosten, die von einem erfassten Verbrauch oder einer erfassten Verursachung durch die Mieter abhängen, sind nach einem Maßstab umzulegen, der dem unterschiedlichen Verbrauch oder der unterschiedlichen Verursachung Rechnung trägt.;
Recht;Erlaubnis;;;(2) Haben die Vertragsparteien etwas anderes vereinbart, kann der Vermieter durch Erklärung in Textform bestimmen, dass die Betriebskosten zukünftig abweichend von der getroffenen Vereinbarung ganz oder teilweise nach einem Maßstab umgelegt werden dürfen, der dem erfassten unterschiedlichen Verbrauch oder der erfassten unterschiedlichen Verursachung Rechnung trägt.;
RF Einwendung;Unzulässigkeit;;;Die Erklärung ist nur vor Beginn eines Abrechnungszeitraums zulässig.;
Gebot;Gebot;;;Sind die Kosten bislang in der Miete enthalten, so ist diese entsprechend herabzusetzen.;
RF Einwendung;Unwirksamkeit;;;(3) Eine zum Nachteil des Mieters von Absatz 2 abweichende Vereinbarung ist unwirksam.;
Gebot;Gebot;;;(1) Die Miete ist zu Beginn, spätestens bis zum dritten Werktag der einzelnen Zeitabschnitte zu entrichten, nach denen sie bemessen ist.;
Recht;Erlaubnis;;;(2) Der Mieter kann entgegen einer vertraglichen Bestimmung gegen eine Mietforderung mit einer Forderung auf Grund der §§ 536a, 539 oder aus ungerechtfertigter Bereicherung wegen zu viel gezahlter Miete aufrechnen oder wegen einer solchen Forderung ein Zurückbehaltungsrecht ausüben, wenn er seine Absicht dem Vermieter mindestens einen Monat vor der Fälligkeit der Miete in Textform angezeigt hat.;
RF Einwendung;Unwirksamkeit;;;Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Gebot;Gebot;;;(1) Hat der Mieter die Betriebskosten für Wärme oder Warmwasser zu tragen und stellt der Vermieter die Versorgung von der Eigenversorgung auf die eigenständig gewerbliche Lieferung durch einen Wärmelieferanten (Wärmelieferung) um, so hat der Mieter die Kosten der Wärmelieferung als Betriebskosten zu tragen, wenn 1.die Wärme mit verbesserter Effizienz entweder aus einer vom Wärmelieferanten errichteten neuen Anlage oder aus einem Wärmenetz geliefert wird und2.die Kosten der Wärmelieferung die Betriebskosten für die bisherige Eigenversorgung mit Wärme oder Warmwasser nicht übersteigen.;
Recht;Erlaubnis;;;Beträgt der Jahresnutzungsgrad der bestehenden Anlage vor der Umstellung mindestens 80 Prozent, kann sich der Wärmelieferant anstelle der Maßnahmen nach Nummer 1 auf die Verbesserung der Betriebsführung der Anlage beschränken.;
Gebot;Gebot;;;(2) Der Vermieter hat die Umstellung spätestens drei Monate zuvor in Textform anzukündigen (Umstellungsankündigung).;
Recht;Ermächtigung;;;(3) Die Bundesregierung wird ermächtigt, durch Rechtsverordnung ohne Zustimmung des Bundesrates Vorschriften für Wärmelieferverträge, die bei einer Umstellung nach Absatz 1 geschlossen werden, sowie für die Anforderungen nach den Absätzen 1 und 2 zu erlassen.;
Gebot;Maßstab;;;Hierbei sind die Belange von Vermietern, Mietern und Wärmelieferanten angemessen zu berücksichtigen.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Während des Mietverhältnisses können die Parteien eine Erhöhung der Miete vereinbaren.;
Recht;Erlaubnis;;;(2) Künftige Änderungen der Miethöhe können die Vertragsparteien als Staffelmiete nach § 557a oder als Indexmiete nach § 557b vereinbaren.;
Recht;Erlaubnis;;;(3) Im Übrigen kann der Vermieter Mieterhöhungen nur nach Maßgabe der §§ 558 bis 560 verlangen, soweit nicht eine Erhöhung durch Vereinbarung ausgeschlossen ist oder sich der Ausschluss aus den Umständen ergibt.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Die Miete kann für bestimmte Zeiträume in unterschiedlicher Höhe schriftlich vereinbart werden.;
Gebot;Gebot;;;(2) Die Miete muss jeweils mindestens ein Jahr unverändert bleiben.;
RF Einwendung;Ausschluss;;;Während der Laufzeit einer Staffelmiete ist eine Erhöhung nach den §§ 558 bis 559b ausgeschlossen.;
Recht;Erlaubnis;;;(3) Das Kündigungsrecht des Mieters kann für höchstens vier Jahre seit Abschluss der Staffelmietvereinbarung ausgeschlossen werden.;
RF Einwendung;Zulässigkeit beschränkt;;;Die Kündigung ist frühestens zum Ablauf dieses Zeitraums zulässig.;
RF Einwendung;Unwirksamkeit;;;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.;
Recht;Erlaubnis;;;(1) Die Vertragsparteien können schriftlich vereinbaren, dass die Miete durch den vom Statistischen Bundesamt ermittelten Preisindex für die Lebenshaltung aller privaten Haushalte in Deutschland bestimmt wird (Indexmiete).;
Gebot;Gebot;;;(2) Während der Geltung einer Indexmiete muss die Miete, von Erhöhungen nach den §§ 559 bis 560 abgesehen, jeweils mindestens ein Jahr unverändert bleiben.;
